versao,data_execucao,raw_rows,trusted_rows,analytical_resumo_uf_rows,analytical_outliers_rows,db_path
1,2026-03-19 21:28:17,1944,1944,27,170,dados\db\susep_mdaf.db
1,2026-03-19 21:38:14,1944,1944,27,170,dados\db\susep_mdaf.db
